kategoria;nazwa;cena;opis;zdjecia
Układanki/Square/1;YJ MGC Square-1;71,99 zł;"Jest to jedna z lepszych kostek  SQ-1  obecnie dostępnych na rynku. Stoi ona w ścisłej czołówce na równi z  YuXin -em  Little   Magic  oraz  Volt -em  V2 .  Od raz po wyjęciu z pudełka wydaje się sucha, a magnesy wydają się za mocne w porównaniu np. do tych ze wcześniej wspomnianego już  Volt -a  V2 .   Jeżeli chodzi o  budowę wewnętrzną  to mamy tutaj coś całkowicie nowego, ponieważ nie było jeszcze kostki square-1, która miałaby w sobie dwuwarstwowe nóżki elementów (od strony technicznej można mówić tu o zastosowaniu technologi, która stawia na  3  punkty zaczepienia elementów). Ma to zapobiec pop-owaniu kostki, jednak takowe się mogą zdarzać.   Pokonywanie zakrętów jest na bardzo dobrym poziomie, a sama kostka jest bardzo płynna.  W zestawie znajdziemy:  
 układankę 
 instrukcję układania 
 śrubokręt regulacyjny 
 zestaw czarnych płytek";https://strefa-kostek.pl/27068-home_default/yj-mgc-square-1.jpg, https://strefa-kostek.pl/27121-thickbox_default/yj-mgc-square-1.jpg, https://strefa-kostek.pl/27068-thickbox_default/yj-mgc-square-1.jpg
Układanki/Square/1;SengSo SQ-1 M;39,99 zł;"Jest to kostka dobra  tylko i wyłącznie na sam początek  swojej przygody z układankami typu  Square-1 .  Kostka jest lekka i bardzo sucha. Patrząc na nią przez pryzmat pozostałych produktów z serii  Mr .  M , to niestety,  nie prezentuje się ona najlepiej .   Seri  Mr .  M  jest przede wszystkim znana z tego, że produkty są wyposażone w magnesy, które bardzo usprawniają i ułatwiają układanie. Tutaj jest bardzo specyficzny problem, czyli magnesy występują, ale nie w każdym elemencie plus są stosunkowo słabe.   Jeżeli chodzi o budowę wewnętrzną, to najwiękrztm mankamentem jest budowa nóżek krawędzi i narożników. Są one bardzo cienkie i mogą one się złamać przy bardziej agresywnych ułożeniach.  W zestawie znajdziemy:  
 układankę 
 instrukcję układania";https://strefa-kostek.pl/27602-home_default/sengso-sq-1-m.jpg, https://strefa-kostek.pl/27602-thickbox_default/sengso-sq-1-m.jpg
Układanki/Square/1;SengSo Mr.M SQ-0;74,99 zł;"Uproszczona kostka Square-1.  
 Poruszanie układanki od razu po wyjęciu z pudełka jest bardzo sztywne i szorstkie. Pierwsze co usłyszymy, to strzelające magnesy. Nie zostały one wklejone, leż włożone w specjalne kieszenie w elementach.  
 Jest to ciekawa alternatywa dla tradycyjnej kostki SQ-1, która nie wymaga uczenia się nowych algorytmów - jeżeli umiemy ułożyć kostkę Square-1.  
 W zestawie znajdziemy: 
 
 układankę 
 instrukcję układania";https://strefa-kostek.pl/27971-home_default/sengso-mrm-sq-0.jpg, https://strefa-kostek.pl/27972-thickbox_default/sengso-mrm-sq-0.jpg, https://strefa-kostek.pl/27971-thickbox_default/sengso-mrm-sq-0.jpg
Układanki/Square/1;SengSo Mr.M SQ-2;74,99 zł;"Jest to kolejna modyfikacja znanej układanki jaką jest Squre-1. Tym razem układanka pod nazwą Square-2.  
 Układanka Sqiare-1 jest podstawową wersją układanki zmiennokształtnej, a Square-0 jest jej uproszczoną wersją. Idąc tym tokiem myślenia powstała również układanka Square-2, która jest bardziej skomplikowana, z uwagi na podzielenie narożników na dwa elementy. 
 Poruszanie jest o wiele lepsze niż Modyfikacja „0”, oraz nie można powiedzieć, że występują tutaj zacięcia. 
 W zestawie znajdziemy: 
 
 układankę 
 instrukcję układania";https://strefa-kostek.pl/27975-home_default/sengso-mrm-sq-2.jpg, https://strefa-kostek.pl/27976-thickbox_default/sengso-mrm-sq-2.jpg, https://strefa-kostek.pl/27975-thickbox_default/sengso-mrm-sq-2.jpg
Układanki/Square/1;SengSo Mirror SQ-1;59,99 zł;;https://strefa-kostek.pl/28895-home_default/sengso-mirror-sq-1.jpg, https://strefa-kostek.pl/28953-thickbox_default/sengso-mirror-sq-1.jpg, https://strefa-kostek.pl/28895-thickbox_default/sengso-mirror-sq-1.jpg
Układanki/Square/1;SengSo Mirror SQ-0;59,99 zł;;https://strefa-kostek.pl/28896-home_default/sengso-mirror-sq-0.jpg, https://strefa-kostek.pl/28955-thickbox_default/sengso-mirror-sq-0.jpg, https://strefa-kostek.pl/28896-thickbox_default/sengso-mirror-sq-0.jpg
Układanki/Square/1;Lee SQ2 body-shift cube;199,99 zł;;https://strefa-kostek.pl/31273-home_default/lee-sq2-body-shift-cube.jpg, https://strefa-kostek.pl/31364-thickbox_default/lee-sq2-body-shift-cube.jpg, https://strefa-kostek.pl/31273-thickbox_default/lee-sq2-body-shift-cube.jpg
Układanki/Square/1;Lee SQ2 body-shift cube;199,99 zł;;https://strefa-kostek.pl/31274-home_default/lee-sq2-body-shift-cube.jpg, https://strefa-kostek.pl/31367-thickbox_default/lee-sq2-body-shift-cube.jpg, https://strefa-kostek.pl/31274-thickbox_default/lee-sq2-body-shift-cube.jpg
Układanki/Square/1;Lee SQ2 body-shift cylinder;219,99 zł;;https://strefa-kostek.pl/31275-home_default/lee-sq2-body-shift-cylinder.jpg, https://strefa-kostek.pl/31369-thickbox_default/lee-sq2-body-shift-cylinder.jpg, https://strefa-kostek.pl/31275-thickbox_default/lee-sq2-body-shift-cylinder.jpg
Układanki/Square/1;SengSo Axis Mirror SQ-1;59,99 zł;;https://strefa-kostek.pl/31479-home_default/sengso-axis-mirror-sq-1.jpg, https://strefa-kostek.pl/31513-thickbox_default/sengso-axis-mirror-sq-1.jpg, https://strefa-kostek.pl/31479-thickbox_default/sengso-axis-mirror-sq-1.jpg
Układanki/Square/1;YJ MGC SQ-1 V2 (Magnetic + UV Coated);99,99 zł;;https://strefa-kostek.pl/34848-home_default/yj-mgc-sq-1-v2-magnetic-uv-coated.jpg, https://strefa-kostek.pl/34848-thickbox_default/yj-mgc-sq-1-v2-magnetic-uv-coated.jpg
Układanki/Square/1;Picube MGC SQ1 Edge Magnet+Equator...;199,99 zł;;https://strefa-kostek.pl/34902-home_default/picube-mgc-sq1-edge-magnetequator-magnetmaglev-uv.jpg, https://strefa-kostek.pl/34902-thickbox_default/picube-mgc-sq1-edge-magnetequator-magnetmaglev-uv.jpg, https://strefa-kostek.pl/34903-thickbox_default/picube-mgc-sq1-edge-magnetequator-magnetmaglev-uv.jpg
Układanki/Square/1;Picube MGC SQ1 Edge Magnet+Equator Magnet UV;179,99 zł;;https://strefa-kostek.pl/34904-home_default/picube-mgc-sq1-edge-magnetequator-magnet-uv.jpg, https://strefa-kostek.pl/34904-thickbox_default/picube-mgc-sq1-edge-magnetequator-magnet-uv.jpg
Układanki/Square/1;X-Man Volt Square-1 V2 Half Magnetic;64,99 zł;"Udoskonalona wersja kostki  Volt V1 . W przypadku tej układanki mamy do czynienia z ukłądanką zmagesowana tylko na dwóch skrajnych warstwach.  Mamy tutaj kostkę, która ,,słucha się” posiadacza. System regulacji (mimo tego że jest klasyczny jak na tego typu układanki) nieznacznie różni się od tego w poprzednim modelu, jednak zmiany są na plus modelu  V2 . Cała kostka (łącznie ze wcześniej wspomnianym systemem regulacji) jest wykonana z cieńszych warstw plastiku.  W poruszaniu układanki nie ma co doszukiwać się niedoskonałości wynikających z wykonania poszczególnych elementów. Jedynyą wadą techniczną, jest lekkie zacinanie kostki w trakcie wykonywania algorytmów w szybkich ułożeniach (wynikać to może np. ze zbyt dużego poluzowania układanki).  Od strony kosmetycznej wszystkie elementy kostki wydają się bardziej pełne – w ułożeniach czuć, że elementy bardziej do siebie przylegają przez co plastik wydaje bardziej przyjemny dźwięk . Jedyne co widać, to znikające –  wyniku tarcia między palcami a plastikiem – złote logo firmy  XMD  (jest to uwaga skierowana do kolekcjonerów).  Kostka przypadnie do gustu zarówno nowicjusza jak i oficjalnego zawodnika speedcubingu.  W zestawie znajdziemy:  
 układankę";https://strefa-kostek.pl/23782-home_default/x-man-volt-square-1-v2-half-magnetic.jpg, https://strefa-kostek.pl/23777-thickbox_default/x-man-volt-square-1-v2-half-magnetic.jpg, https://strefa-kostek.pl/23774-thickbox_default/x-man-volt-square-1-v2-half-magnetic.jpg
Układanki/Square/1;X-Man Volt Square-1 V2 Full Magnetic;84,99 zł;"Udoskonalona wersja kostki  Volt V1 . W przypadku tej układanki mamy do czynienia z ukłądanką całkowicie omanesowaną (magnesy występują nie tylko na slice-ie ale także w elementach górnej i dolnej warstwy).   Mamy tutaj kostkę, która ,,słucha się” posiadacza. System regulacji (mimo tego że jest klasyczny jak na tego typu układanki) nieznacznie różni się od tego w poprzednim modelu, jednak zmiany są na plus modelu  V2 . Cała kostka (łącznie ze wcześniej wspomnianym systemem regulacji) jest wykonana z cieńszych warstw plastiku co sprawia, że  Volt   V2  mimo dodatkowej masy (w postaci 50 magnesów) jest lżejszy.   W poruszaniu układanki nie ma co doszukiwać się niedoskonałości wynikających z wykonania poszczególnych elementów. Jedynyą wadą techniczną, jest lekkie zacinanie kostki w trakcie wykonywania algorytmów w szybkich ułożeniach (wynikać to może np. ze zbyt dużego poluzowania układanki).   Od strony kosmetycznej wszystkie elementy kostki wydają się bardziej pełne – w ułożeniach czuć, że elementy bardziej do siebie przylegają przez co plastik wydaje bardziej przyjemny dźwięk . Jedyne co widać, to znikające –  wyniku tarcia między palcami a plastikiem – złote logo firmy  XMD  (jest to uwaga skierowana do kolekcjonerów).   Kostka przypadnie do gustu zarówno nowicjusza jak i oficjalnego zawodnika speedcubingu.  W zestawie znajdziemy:  
 układankę";https://strefa-kostek.pl/23790-home_default/x-man-volt-square-1-v2-full-magnetic.jpg, https://strefa-kostek.pl/23786-thickbox_default/x-man-volt-square-1-v2-full-magnetic.jpg, https://strefa-kostek.pl/23787-thickbox_default/x-man-volt-square-1-v2-full-magnetic.jpg
Outlet;OUTLET Giiker Super Cube i3 SE;90,00 zł;Stan dobry. Kostka posiada tylko 300 ruchów zarejestrowanych w aplikacji. Układanka jest w pełni sprawna, prawidłowy łączy się z aplikacją i rozpoznaje wszystkie ruchy.;https://strefa-kostek.pl/33328-home_default/outlet-giiker-super-cube-i3-se.jpg, https://strefa-kostek.pl/33328-thickbox_default/outlet-giiker-super-cube-i3-se.jpg
Outlet;OUTLET Swift Block WiSlide Smart Klotski;100,00 zł;Produkt fabrycznie nowy. Pudełko mocno uszkodzone w transporcie. Komplet akcesoriów. Produkt sprawny.;https://strefa-kostek.pl/34647-home_default/outlet-swift-block-wislide-smart-klotski.jpg, https://strefa-kostek.pl/34181-thickbox_default/outlet-swift-block-wislide-smart-klotski.jpg, https://strefa-kostek.pl/34647-thickbox_default/outlet-swift-block-wislide-smart-klotski.jpg
Klasyczne kostki/5x5x5;MoYu Meilong 5x5x5;34,99 zł;"MeiLong 5x5  to najnowsza budżetowa 5x5 od firmy  MoFangJiaoShi . Jest to obecnie najlżejsza 5x5 dostępna w sprzedaży. 
 Konstrukcja tej kostki jest dosyć prosta, i widocznie bazowana na pierwszym modelu piątki tejże firmy -  MF5 . Części utrzymują się na pojedynczym wewnętrznym pierścieniu, który jest położony kilka milimetrów poniżej centrów. Rogi posiadają szeroką dwuwarstwową podstawę, której wielkość zwiększa ich stabilność. W celu zmniejszenia wagi kostka pusta poniżej wewnętrznego miejsca chwytu krawędzi i rogów - te części są ścięte zostawiając pustą sferę, w której znajduje się tylko krzyżak  -oraz posiada cieńszy plastik niż typowe kostki MoYu i poprzednie modele  MoFangJiaoShi . 
 Kostka porusza się bardzo lekko i gładko, z wyczuwalną sztywnością i stabilnością. Ścinanie zakrętów jest stosunkowo dobre, nawet na tle flagowych kostek ze znacznie wyższych półek cenowych. Lekka waga i wysoka stabilność pozwalają na uzyskiwanie wysokich prędkości bez zacięć. Po zmagnesowaniu kostka może być używana także przez profesjonalistów. 
 Polecana zarówno dla osób początkujących, jak i profesjonalistów szukających lżejszych i szybszych kostek.   W zestawie znajdziemy:  
 
 układankę 
 instrukcję układania";https://strefa-kostek.pl/19804-home_default/moyu-meilong-5x5x5.jpg, https://strefa-kostek.pl/19911-thickbox_default/moyu-meilong-5x5x5.jpg, https://strefa-kostek.pl/19804-thickbox_default/moyu-meilong-5x5x5.jpg
Klasyczne kostki/5x5x5;The Valk 5x5x5 Magnetic;239,99 zł;"Valk 5  jest iteracją poprzedniej najlepszej 5x5 na rynku - WuShuanga. 
 Konstrukcja wewnętrzna jest praktycznie  identyczna  jak w przypadku WuShuanga, ale pewne rzeczy zostały nieznacznie poprawione.   Wewnętrzne części centrów są zrobione z niebarwionego plastiku, ze względu na lepsze właściwości mechaniczne. Dodatkowo użyto cieńszego plastiku, co pozwoliło ograniczyć wagę tej kostki, czyniąc ją najlżejszą fabrycznie magnetyczną 5x5 na rynku. 
 Poruszanie kostki jest bardzo lekkie, z krótkim i wyczuwalnym kliknięciem. Ścinanie zakrętów jest na dobrym poziomie, ale kostka nie posiada elementów stabilizujących występujących np. w AoChuangu GTS M. 
 Idealna dla profesjonalistów. 
  W zestawie znajdziemy:   
 
  układankę  
  specjalne pdełko an układankę  
  zestaw dodatkowych sprężyn -twardszych niż zamontowane fanrycznie w kostce  
  śceireczkę z logo „Valk”  
  karty kolekcjonerskie  
  instrukcję układania";https://strefa-kostek.pl/23535-home_default/the-valk-5x5x5-magnetic.jpg, https://strefa-kostek.pl/23532-thickbox_default/the-valk-5x5x5-magnetic.jpg, https://strefa-kostek.pl/23533-thickbox_default/the-valk-5x5x5-magnetic.jpg
Klasyczne kostki/5x5x5;YJ Zhilong M Mini 5x5;49,99 zł;"Największa z najmniejszych,  Ostatni przedstawiciel serii Mini.  Podobnie jak w pozostałych produktach, mamy tu do czynienia z produktem  bardzo wysokiej jakości .  Budowa wewnętrzna kostki jest praktycznie identyczna, jak w pozostalych kostach 5x5. Jedyną różnicą, są  elementy wykonane w taki sposób, żeby zużyć jak naj mniej plastiku, przez co kostka jest bardzo lekka.   Zachowanie kostki  podczas ułożeń jest niesamowicie delikatne - kostka nie sprawia problemów przy układaniu . Jest bardzo  szybka  i  przyjemnie luźna , a magnesy idealnie uzupełniają lukę, jeżeli chodzi o stabilność.  Magnesy  nie są zbyt mocne, przez co kostka nie będzie męczyć układającego podczas długich sesji.   Jedyną sporną kwestią  są rozmiary tej kostki. Tracyjcyjne układanki  5x5  mają obecine po  60/61/62 mm , a tu dostajemy kostkę która jest niewiele większa od kostki 3x3. Jest to  dobra propozycja dla osób o mniejszych dłoniach, lub dla osób lubiących mniejsze kostki .  -Kostka warta polecenia-  
  W zestawie znajdziemy:   
  układankę  
  zestaw 8 magnesów  
  składana podstawka pod kostkę  
  śrubokręt do regulacji  
  instrukcję   układania";https://strefa-kostek.pl/26202-home_default/yj-zhilong-m-mini-5x5.jpg, https://strefa-kostek.pl/26918-thickbox_default/yj-zhilong-m-mini-5x5.jpg, https://strefa-kostek.pl/26202-thickbox_default/yj-zhilong-m-mini-5x5.jpg
Klasyczne kostki/5x5x5;QiYi MS Magnetic 5x5x5;64,99 zł;"Kostka  QiYi MS 5x5  po wyjęciu z pudełka zaskakuje przede wszystkim  jakością plastiku z jakiego została wykonana .   Grubszy i śliski plastik dawnej zarezerwowany tylko dla najdroższych kostek od samego początku daje nam do zrozumienia, że mimo niskiej ceny mamy do czynienia z kostką  klasy premium . Lepsza jakości plastiku przekłada się również na  znacznie precyzyjniejsze spasowanie ze sobą elementów wewnętrznych i zmniejsza tarcie elementów układanki , dzięki czemu jednocześnie udało się zupełnie zapobiec popowaniu kostki przy zachowanie  niezwykłej płynności .   Od razu po wyjęciu z pudełka kostka  wydaje sie być   bardzo luźna  i niestety jest jedną z luźniejszych kostek. Delikatnie traci w ten sposób na stabilności, ale dla układaczy lubiących np. kostkę  DaYan   TengYun   V1 , ten produkt może trafić w ich gusta.  W zestawie znajdziemy: 
 
 układankę 
 instrukcję układania";https://strefa-kostek.pl/25347-home_default/qiyi-ms-magnetic-5x5x5.jpg, https://strefa-kostek.pl/25344-thickbox_default/qiyi-ms-magnetic-5x5x5.jpg, https://strefa-kostek.pl/25343-thickbox_default/qiyi-ms-magnetic-5x5x5.jpg
Klasyczne kostki/5x5x5;MoYu Meilong 5x5x5 Magnetic;49,99 zł;"Kolejny udany produkt od MoFangJiaoShi.  Jedna z najlepszych piątek.  Podobnie jak z innymi produktami z serii Meilong mamy do czynienia ze  świetną kostką . Teraz na afisz bierzemy układankę 5x5.  Od razu po wyjęciu z pudełka mamy kostkę, która potrzebuje kilku ruchów i odrobiny smaru, i  jest gotowa do układania na zawodach .  Poruszanie stoi na bardzo wysokim poziomie, pokonywanie zakrętów już gorzej, Nawiązując do opinii wielu ludzi warto wspomnieć o magnesach, które realnie są delikatnie za słabe na tę kostkę.   
 W zestawie znajdziemy: 
 
 układankę 
 śrubokręt regulacyjny 
 podstawkę na kostkę 
 instrukcję układania";https://strefa-kostek.pl/25605-home_default/moyu-meilong-5x5x5-magnetic.jpg, https://strefa-kostek.pl/25679-thickbox_default/moyu-meilong-5x5x5-magnetic.jpg, https://strefa-kostek.pl/25605-thickbox_default/moyu-meilong-5x5x5-magnetic.jpg
Klasyczne kostki/5x5x5;YJ MGC 5x5x5;89,99 zł;"Kolejny świetny produkt MGC.   Seria  MGC  jest świetną grupą układanek w nie najwyższej cenie. Układanki 2x2, 3x3, 4x4, i 6x6 są jednymi z najbardziej opłacalnych produktów.  5x5 od  YJ  jest szybka i bardzo luźna - zalecane jest dokręcenie śrub regulacyjnych . Magnesy zamontowane w tej układance są bardzo dobre. Pokonywanie zakrętów stopi na bardzo wysokim poziomie.   Kostka skierowana głównie do najbardziej zaawansowanych układaczy oraz lubiących luźniejsze kostki.   W zestawie znajdziemy:   
  układankę  
  śrubokręt regulacyjny  
  zapasowe magnesy  
  dwa dodatkowe zestawy sprężyn- (+) twardsze ; (-) bardziej miękkie -w kostkce są zamontowane sprężyny umiarkowane  
  instrukcję układania";https://strefa-kostek.pl/23914-home_default/yj-mgc-5x5x5.jpg, https://strefa-kostek.pl/23914-thickbox_default/yj-mgc-5x5x5.jpg, https://strefa-kostek.pl/23915-thickbox_default/yj-mgc-5x5x5.jpg
Klasyczne kostki/5x5x5;YJ YuChuang 5x5x5 Magnetic;64,99 zł;"YuChuang 5x5 Magnetic  to obecnie pierwsza fabrycznie magnetyczna piątka od YongJuna. 
  Konstrukcja  tej kostki wyróżnia się niezwykle cienką podstawą środkowej krawędzi, której szerokość jest identyczna z krawędziami bocznymi. Ogólna konstrukcja jest typowa dla nowych kostek 5x5 - dwutorowe podstawy krawędzi i rogów oraz użycie dużej ilości głębokich torów dla zmniejszenia oporu zapewnia lekkie i przyjemne poruszanie . 
  Poruszanie kostki  jest bardzo lekkie, stabilne i przyjemne. Użyte  magnesy  są wyczuwalnie słabe - dużo słabsze niż typowe dla magnetycznych 5x5 . Poruszanie zewnętrznych warstw jest niezwykle dobre, ale wewnętrzne warstwy mają cięższe, bardziej suche uczucie, i są podatne na zacinanie. 
 Świetna budżetowa 5x5, obecnie najtańsza magnetyczna na rynku.  W zestawie znajdziemy: 
 
 układankę 
 instrukcję układania";https://strefa-kostek.pl/19780-home_default/yj-yuchuang-5x5x5-magnetic.jpg, https://strefa-kostek.pl/19872-thickbox_default/yj-yuchuang-5x5x5-magnetic.jpg, https://strefa-kostek.pl/19781-thickbox_default/yj-yuchuang-5x5x5-magnetic.jpg
Klasyczne kostki/5x5x5;YuXin Black Kylin 5x5x5;34,99 zł;"YuXin Black Kylin 5x5.  Bardzo dobry produkt?  Mamy nowy produkt od firmy  YuXin  Poprzednie rozdanie układanek 4x4 od tej firmy nie było najlepszym co spotkało świat speedcubingu. Tutaj mamy produkt, który  nadrabia błędy poprzednika .  Poruszanie się kostki jest  zaskakująco dobre . Mimo niżowej produkcji dostajemy produkt, który może posłużyć dla ludzi zaczynającym swoją przygodę z big-cubeami.  W zestawie znajdziemy:  
 układankę 
 instrukcję układania";https://strefa-kostek.pl/24299-home_default/yuxin-black-kylin-5x5x5.jpg, https://strefa-kostek.pl/24299-thickbox_default/yuxin-black-kylin-5x5x5.jpg, https://strefa-kostek.pl/24300-thickbox_default/yuxin-black-kylin-5x5x5.jpg
Klasyczne kostki/5x5x5;YuXin Little Magic 5x5x5 Magnetic;79,99 zł;"Yuxin Little Magic Magnetic  to zdecydowanie jedna z najlepszych budżetowych kostek w kategorii 5x5.   Układanie na niej sprawia  ogromną przyjemność . Wszystkie ściany poruszają się  płynnie i szybko . Wystarczy jedynie lekki ruch palcem lub nadgarstkiem, aby wprawić je w ruch.   Kostka się  nie zacina i nie pop-uje . Nawet podczas bardzo agresywnego układania.  Magnesy mogłyby być   delikatnie   silniejsze, a   pomogłoby   to w układaniu sportowym.  
 Układanka wykonana jest z wysokiej jakości materiałów, dzięki czemu jest bardzo odporna na uszkodzenia. Z pewnością będzie Ci służyć przez wiele lat.   W zestawie znajdziemy: 
 
 układankę 
 podstawkę pod ukłądankę 
 instrukcję układania";https://strefa-kostek.pl/20679-home_default/yuxin-little-magic-5x5x5-magnetic.jpg, https://strefa-kostek.pl/20679-thickbox_default/yuxin-little-magic-5x5x5-magnetic.jpg, https://strefa-kostek.pl/18784-thickbox_default/yuxin-little-magic-5x5x5-magnetic.jpg
Klasyczne kostki/5x5x5;QiYi QiZheng S 5x5x5;34,99 zł;"QiZheng S to pierwsza budżetowa piątka od QiYi.  
 Konstrukcja wewnętrzna jest podobna do topowych kostek YuXina. Dwutorowa konstrukcja podstaw krawędzi i rogów  zapewnia większą stabilność , a brak dodatkowych zbędnych elementów zapewnia poprawne działanie kostki niezależnie od sytuacji. 
 Poruszanie kostki jest  bardzo lekkie i przyjemne , jednak przy nowej kostce bardzo suche. Ścinanie zakrętów jest w pobliżu poziomu najlepszych kostek na rynku. Po wyrobieniu i dotarciu matowego plastiku kostka nadaje się nawet dla profesjonalnych speedcuberów. 
 Polecamy początkującym i bardziej oszczędnym osobom. 
 W zestawie znajdziemy: 
 
 układankę 
 instrukcję układania";https://strefa-kostek.pl/20687-home_default/qiyi-qizheng-s-5x5x5.jpg, https://strefa-kostek.pl/20687-thickbox_default/qiyi-qizheng-s-5x5x5.jpg, https://strefa-kostek.pl/20686-thickbox_default/qiyi-qizheng-s-5x5x5.jpg
Klasyczne kostki/5x5x5;Shengshou 5x5x5 Mr.M;79,99 zł;"Mr.M 5x5  to kolejna próba  ShengShou  na wbicie się w rynek flagowych kostek. 
 Owa 5x5 nie różni się zbytnio konstrukcją od poprzednim modeli ShengShou, z główną różnicą w postaci posiadania magnesów w wersji podstawowej. Brak tutaj specjalnych usprawnień mechanizmu bądź nawet torów zmniejszających opór. 
 Poruszanie kostki jest  bardzo lekkie od wyjęcia z pudełka , prawie bezoporowe, mimo dosyć ciasnego fabrycznego ustawienia śrubek. Ścinanie zakrętów jest dobre. 
 Kostka idealna dla układaczy na średnim poziomie.  W zestawie znajdziemy: 
 
 układankę 
 instrukcję układania";https://strefa-kostek.pl/34082-home_default/shengshou-5x5x5-mrm.jpg, https://strefa-kostek.pl/25519-thickbox_default/shengshou-5x5x5-mrm.jpg, https://strefa-kostek.pl/25520-thickbox_default/shengshou-5x5x5-mrm.jpg
Klasyczne kostki/5x5x5;YJ RuiChuang 5x5x5;39,99 zł;"RuiChuang  to część nowej, budżetowej serii Rui od  YongJun . 
 Wbrew pozorom, jedyną różnicą między tą kostką a poprzednim YuChuangiem jest tylko nazwa, i inne użycie specyficznych kolorów plastiku, oczywiście tylko i wyłącznie w wersji stickerless. 
 Poruszanie jest dosyć  sztywne , i nie dorównuje nowym budżetówkom. Kostka od wyjęcia jest obficie nasmarowana.  Kostka kierowana głównie do nowicjuszy.  W zestawie znajdziemy: 
 
 układankę 
 instrukcję układania";https://strefa-kostek.pl/20691-home_default/yj-ruichuang-5x5x5.jpg, https://strefa-kostek.pl/20691-thickbox_default/yj-ruichuang-5x5x5.jpg, https://strefa-kostek.pl/18660-thickbox_default/yj-ruichuang-5x5x5.jpg
Klasyczne kostki/5x5x5;QiYi QiZheng 5x5x5;34,99 zł;"QiZheng  to pierwsza budżetowa piątka od  QiYi . 
 Konstrukcja wewnętrzna jest podobna do topowych kostek YuXina. Dwutorowa konstrukcja podstaw krawędzi i rogów zapewnia większą stabilność, a brak dodatkowych zbędnych elementów zapewnia poprawne działanie kostki niezależnie od sytuacji. 
  Poruszanie  kostki jest bardzo  lekkie i przyjemne , jednak przy nowej kostce bardzo suche. Ścinanie zakrętów jest w pobliżu poziomu najlepszych kostek na rynku. Po wyrobieniu i dotarciu matowego plastiku kostka nadaje się nawet dla profesjonalnych speedcuberów. 
 Polecamy początkującym i bardziej oszczędnym osobom.  W zestawie znajdziemy: 
 
 układankę 
 instrukcję układania";https://strefa-kostek.pl/20702-home_default/qiyi-qizheng-5x5x5.jpg, https://strefa-kostek.pl/20702-thickbox_default/qiyi-qizheng-5x5x5.jpg, https://strefa-kostek.pl/17027-thickbox_default/qiyi-qizheng-5x5x5.jpg
Klasyczne kostki/5x5x5;Shengshou Gem 5x5x5;39,99 zł;"ShengShou Gem 5x5  to najnowsza piątka z budżetowej serii GEM, wyróżniającej się specyficzną zewnętrzną teksturą kostek, za których wszystkie występują tylko w wersji stickerless. 
 Konstrukcja kostki jest bardzo prosta, bez zbędnych zaokrągleń bądź ulepszeń. Dodatkowym wyróżnieniem jest użycie czarnego plastiku wewnątrz z kolorowymi nakładkami na zewnątrz. 
 Kostka porusza się  bardzo lekko  od wyjęcia z pudełka.   W zestawie znajdziemy: 
 
 układankę 
 instrukcję układania";https://strefa-kostek.pl/20703-home_default/shengshou-gem-5x5x5.jpg, https://strefa-kostek.pl/20703-thickbox_default/shengshou-gem-5x5x5.jpg, https://strefa-kostek.pl/14564-thickbox_default/shengshou-gem-5x5x5.jpg
Klasyczne kostki/5x5x5;ShengShou Legend 5x5x5;39,99 zł;"ShengShou Legend 5x5  to kostka stworzona z myślą o niskiej cenie połączonej z przyzwoitymi osiągami. 
 Konstrukcja jest typowa dla innych kostek ShengShou - bardzo prosta i gładka .  
 Poruszanie kostki jest bardzo lekkie już od wyjęcia z pudełka.   W zestawie znajdziemy: 
 
 układankę 
 instrukcję układania";https://strefa-kostek.pl/23992-home_default/shengshou-legend-5x5x5.jpg, https://strefa-kostek.pl/23992-thickbox_default/shengshou-legend-5x5x5.jpg, https://strefa-kostek.pl/20710-thickbox_default/shengshou-legend-5x5x5.jpg
Klasyczne kostki/5x5x5;DaYan NeZha 5M 5x5 Strong Magnetic;179,99 zł;"Kostka 5x5 od firmy DaYan.  
 Dostajemy tutaj produkt, który wyróżnia się na tle innych „piątek”.  Mianowicie jest to najlżejsza układanka tego typu na świecie - waży zaledwie 114 gramów, gdzie kultowy  Valk   5  waży już 137 gramów .  
 Budowa wewnętrzna jest zbliżona do typowej dla kostek 5x5. Podobnie spawa, wygląda w kwestii gabarytów kostki.  Poruszanie  jest bardzo przyjemne, mimo to  dźwięk  wydawany przez kostkę daje złudne  wrażenie , jakby kostka była sucha.  Siła   magnesów  w tej kostce jest słabsza, niżeli opisuje ją producent ( Strong - Medium/ Medium - Light ).  
  
 W zestawie znajdziemy: 
 
 układankę 
 woreczek na kostkę z logotypem „ DaYan ” 
 śrubokręt regulacyjny 
 zestaw sprężyn (lżejsze niż zamontowane fabrycznie)";https://strefa-kostek.pl/28044-home_default/dayan-nezha-5m-5x5-strong-magnetic.jpg, https://strefa-kostek.pl/28046-thickbox_default/dayan-nezha-5m-5x5-strong-magnetic.jpg, https://strefa-kostek.pl/28044-thickbox_default/dayan-nezha-5m-5x5-strong-magnetic.jpg
